PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
418,50,10.582,1188,,,,8.979395,,,9.592258
419,50,10.2096,1188,,,,8.979395,,,9.592258
420,40,3.2628,4500,,,,23.16166,,,25.560682
421,40,3.2628,4500,,,,23.16166,,,25.560682
422,40,3.2628,4500,,,,23.16166,,,25.560682
423,55,0.7606,3876,,,,3.343881,,,2.990898
424,55,0.7385,3876,,,,3.343881,,,2.990898
425,55,3.9991,3083.586207,,26.586539,,28.728583,,,
426,55,3.9991,3083.586207,,26.897198,,28.728583,,,
427,80,98.9342,1270.588235,,,,43.777934,,,43.11690563
428,80,78.2854,1800,,,,40.865046,,,39.577953
429,60,1.5278,918,,,,8.289213,,,8.289213
430,70,0.011,24.18,,2.724,,,,,2.915075
431,70,0.011,24.18,,2.586,,,,,2.915075
432,20,24.2506,3088.8,54.637494,,,54.859117,,,
433,20,24.9781,3088.8,53.002255,,,53.223878,,,
434,15,33.8847,19975.5,,,,469.46448,,,475.760133
435,40,2.6455,2250,,,,19.260611,,,21.531346
436,40,2.6455,2250,,,,19.260611,,,21.531346
437,40,5.2535,2250,,,,19.260611,,,21.531346
438,40,2.6235,2250,,,,12.427834,,,12.218967
439,30,1.2346,796.875,,,,2.276978,,,2.693797
440,30,0.6834,1147.5,,,,2.252515,,,2.693797
441,30,0.69,1147.5,,,,2.138666,,,2.579007
442,80,1.975,13511.02941,,,7.16925,,8.719527,,
443,80,3.493,3507.692308,,,,,8.719527,,9.0326
444,20,24.2506,3088.8,56.614427,,,56.83605,,,
445,20,3.5274,2033.560976,,,,8.869447,,,8.959703
446,15,12.9306,1748.571429,,,,,200.996323,,201.254444
447,50,5.0437,212.1428571,6.714993,,,6.73003,,,
448,50,5.0437,212.1428571,6.64597,,,6.694041,,,
449,40,0.3858,282.8571429,,,,6.106531,,,6.456112
450,40,0.3858,282.8571429,,,,6.200531,,,6.456112
451,40,0.3197,242,,,,5.014318,,,5.314993
452,40,0.3197,242,,,,5.18368,,,5.424587
453,40,0.5071,1320,,,,10.21798,,,10.846808
454,20,0.6698,2480.4,,23.778695,,20.1,,,
455,50,15.6747,7490.8125,,,,22.200211,,,21.561318
456,50,15.6747,7490.8125,,,,22.200211,,,21.561318
457,40,3.2408,4863.940541,,,,20.051519,,,19.36391
458,60,39.1647,27097.2,,,,127.344932,,,128.234589
459,60,39.1647,27097.2,,,,129.864656,,,135.356831
460,20,0.2674,238.021875,1.104467,,1.376792,,,,
461,20,24.2506,3088.8,54.637494,,,54.859117,,,
462,30,3.5494,12072.15,,,,9.363837,,,11.388654
463,40,0.937,519.2307692,,,,2.744795,,,2.215424
464,40,0.937,519.2307692,,,,2.744795,,,2.215424
465,50,8.9728,1262.794737,,,,4.923541,,,4.923541
466,50,8.9728,1262.794737,,,,4.923541,,,4.923541
467,40,1.6645,1928.571429,,,,9.48854,,,9.457147
468,40,1.7637,1928.571429,,,,9.505903,,,9.426852
469,40,1.7637,1928.571429,,,,9.505903,,,9.426852
470,60,0.2646,136.0714286,,,,1.387733,,,1.7315
471,40,3.329,1090.909091,,,,8.12772,,,10.066574
472,40,3.329,1090.909091,,,,8.12772,,,11.109373
473,40,3.329,1090.909091,,,,8.12772,,,10.066574
474,50,16.8078,7428.571429,,,,7.303458,,,7.35054
475,50,14.784,7428.571429,,,,7.303458,,,7.35054
476,40,6.0075,9382.431818,,,,34.569588,,,35.366549
477,40,6.0075,9382.431818,,,,34.569588,,,35.366549
478,40,2.1385,524.4,,,,24.79104,,,24.79104
