PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
51.0,20.0,4.0458,66.2682,13.2586,14.04,10.8067,13.3661,13.3488,13.284,13.6849
52.0,20.0,12.099,93078.4,67.2263,66.2769,157.265,66.8181,65.4353,154.646,68.8251
53.0,20.0,34.3917,1495.7,30.6237,31.4385,27.173,32.6111,27.2928,18.1361,32.6111
54.0,15.0,2.7171,644.877,2.2299,2.14367,1.6436,1.58471,1.44699,1.67757,1.81268
55.0,15.0,2.7812,1304.75,0.922871,2.80106,1.67277,1.40705,1.45891,1.70674,1.48248
56.0,15.0,2.638,3819.71,3.40995,4.36664,3.75171,3.60403,1.95357,5.64111,3.77587
57.0,15.0,1.4881,716.332,3.5445,4.67271,3.69222,3.90082,3.553,1.59972,3.8613
58.0,15.0,0.6357,1206.08,1.16772,1.29762,0.887801,1.49187,2.0833,2.53185,1.48452
59.0,50.0,3.5251,330.89,1.43214,1.5352,1.77355,1.55495,1.24905,1.18345,1.5076
60.0,20.0,0.3814,2817.38,7.00516,5.57325,4.24143,6.92438,6.97624,4.21533,7.66553
61.0,60.0,2.0349,153.0,6.2172,6.01873,6.13222,6.00172,6.06564,5.62352,6.02444
62.0,30.0,1.6799,5815.17,1.39866,1.44182,0.336453,1.39866,1.11159,2.2794,1.80088
63.0,30.0,1.5677,5815.17,1.39866,1.44182,0.336453,1.39866,1.11159,2.2794,1.80088
64.0,20.0,8.9248,11109.9,23.8225,37.7863,40.1249,25.5517,33.8326,81.9709,25.8099
65.0,50.0,2.28,40425.0,6.24864,3.46781,3.43511,4.44628,3.53424,4.70205,3.54431
66.0,15.0,0.5626,943.113,1.10858,1.11526,0.615189,1.60187,1.11708,2.34949,1.42538
67.0,20.0,13.8549,3045.63,22.3006,16.8012,15.4543,16.3877,16.8677,18.0355,17.4001
68.0,20.0,3.5973,932.031,2.95267,2.40871,1.90865,2.30748,2.16976,1.94261,2.07772
69.0,20.0,4.4143,1187.52,1.63373,2.26164,1.90865,2.30748,2.16976,1.94261,3.33175
70.0,20.0,0.5433,130.647,0.683064,1.87312,1.59053,1.86527,1.83446,1.68081,1.81791
71.0,20.0,0.7559,192.522,0.747211,1.93727,1.80708,1.88188,2.08572,1.87846,2.01556
72.0,20.0,0.516,1485.4,1.15241,1.8722,1.37213,2.06645,1.68845,3.38168,2.85044
73.0,20.0,0.406,1905.1,1.08852,1.78514,0.651349,1.97939,1.62456,3.30621,1.91792
74.0,20.0,1.1177,557.483,1.7684,1.71099,1.46346,1.35007,1.55154,-1.362,1.6565
75.0,50.0,2.282,808.95,2.22171,2.2211,2.35787,2.63266,2.14137,1.98616,2.12327
76.0,50.0,2.282,808.95,2.22171,2.22031,2.35787,2.63187,2.14058,1.98538,2.12249
